File,Location,Import_Pattern,Count,Type,Priority
"apps/mcp-server/test/performance/benchmarks.comprehensive.spec.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/unit/auth/authentication.test.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/unit/auth/authorization.test.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/unit/context7/Context7Service.test.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/unit/security/path-validation.test.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/unit/tools/analyze-risk.test.ts","packages","","       2","Package Test","Medium"
"apps/mcp-server/test/unit/tools/check-dependencies.test.ts","packages","","       2","Package Test","Medium"
"apps/mcp-server/test/unit/tools/create-checkpoint.test.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/unit/tools/list-checkpoints.test.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/unit/tools/restore-checkpoint.test.ts","packages","","       1","Package Test","Medium"
"apps/vscode/test/integration/config/loaders.sandbox.integration.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/integration/config/precedence.torture.integration.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/integration/config/sandbox.integration.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/integration/demo-critical/settings.integration.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/integration/demo-critical/storage.integration.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/integration/workspace/multiroot-workflows.integration.test.ts","apps/vscode","","       3","VSCode Test","Medium"
"apps/vscode/test/unit/__tests__/autoCheckpoint.unit.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/__tests__/fileWatcher.unit.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/ai/AIWarningManager.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/auth/AuthService.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/commands/command-labels.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/commands/decorationCommands.test.ts","apps/vscode","","       3","VSCode Test","Medium"
"apps/vscode/test/unit/commands/protectionCommands.test.ts","apps/vscode","","       1","VSCode Test","Medium"
